record_id,metric_number,legacy_metric_number_mapped,v3_1_to_v3_2_domain_status,v3_2_to_v4_label_status,metric_type,ignition_driver,line_type,hftd_tier,unit_canonical,unit_crosswalk_status,ignition_driver_tracked,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T6R-c62083c53c59ef43,1060000000,1.a.d.0,exact,exact,1. Dig-in,Dig-in,Distribution,Non-HFTD,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,10,M10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-41af733d32265d0d,1060000000,1.a.d.0,exact,exact,1. Dig-in,Dig-in,Distribution,Non-HFTD,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,10,N10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-786485a2d95cbcbd,1060000000,1.a.d.0,exact,exact,1. Dig-in,Dig-in,Distribution,Non-HFTD,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,10,O10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-69ce1160e1e5eec5,1060000000,1.a.d.0,exact,exact,1. Dig-in,Dig-in,Distribution,Non-HFTD,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,10,P10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-0e1d4b5145a6d105,1060000001,1.a.d.2,exact,exact,1. Dig-in,Dig-in,Distribution,HFTD Tier 2,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,11,M11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-cf2e7e6db8a9fc35,1060000001,1.a.d.2,exact,exact,1. Dig-in,Dig-in,Distribution,HFTD Tier 2,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,11,N11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-1640c3859434f876,1060000001,1.a.d.2,exact,exact,1. Dig-in,Dig-in,Distribution,HFTD Tier 2,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,11,O11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-7ed9d0be2d5e6d94,1060000001,1.a.d.2,exact,exact,1. Dig-in,Dig-in,Distribution,HFTD Tier 2,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,11,P11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-7a502a5cec348f4a,1060000002,1.a.d.3,exact,exact,1. Dig-in,Dig-in,Distribution,HFTD Tier 3,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,12,M12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-641e7b2c8175fc38,1060000002,1.a.d.3,exact,exact,1. Dig-in,Dig-in,Distribution,HFTD Tier 3,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,12,N12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
