record_id,metric_number,legacy_metric_number_mapped,crosswalk_status,metric_type,line_type,hftd_tier,area_type,wui_status,unit_canonical,unit_crosswalk_status,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T8R-7da0f6c5fd59e2e1,1080000000,1.d.0.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,-1.978999999999985,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,10,M10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-0a8c6bb8af510655,1080000000,1.d.0.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,-0.19100000000003092,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,10,N10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-da3d62773757d7ad,1080000000,1.d.0.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,-0.3199999999999932,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,10,O10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-15b2f8eedc5dcdde,1080000000,1.d.0.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,-0.21999999999997044,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,10,P10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-0a264504c1b28cbe,1080000001,1.d.0.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,-0.4010000000002947,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,11,M11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-4f9d2a307fbbedd4,1080000001,1.d.0.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,-0.36899999999968713,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,11,N11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-1a9653ec4651e4b8,1080000001,1.d.0.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,-2.2100000000000364,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,11,O11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-99d5339ad4948d7c,1080000001,1.d.0.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,-2.6900000000000546,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,11,P11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-c59d1aee576a76c7,1080000002,1.d.0.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,0.13900000000001,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,12,M12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-d66ff910b5be7a0f,1080000002,1.d.0.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,0.10099999999999909,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,12,N12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-f7d89b56b7cda314,1080000002,1.d.0.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,-0.13000000000002387,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,12,O12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-15eab510bbbee367,1080000002,1.d.0.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,-0.009999999999990905,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,12,P12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-8c44790a80863157,1080000003,1.d.0.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,Non-WUI,Circuit miles,exact,1.8239999999999839,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,13,M13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-d8cebd00509a032c,1080000003,1.d.0.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,Non-WUI,Circuit miles,exact,-0.7939999999999827,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,13,N13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-6c7253a00a26fb13,1080000003,1.d.0.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,13,O13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-8aa3315f40865685,1080000003,1.d.0.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,Non-WUI,Circuit miles,exact,-1.200000000000017,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,13,P13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
