record_id,comparison_group_id,metric_number,mapped_v4_metric_number,initiative_mapping_status,tracking_id_normalized,group_tracking_ids,wmp_category,wmp_initiative,wmp_activity,expense_type,hftd_tier,unit_canonical,actual_value_canonical,primary_driver_targeted,secondary_drivers_targeted,year_initiated,most_recent_proceeding,memorandum_account,current_compliance_status,associated_rules,other_spend_category,comments,blank_meaning,utility_id,reporting_year,schema_version,source_revision,source_file,source_sheet,source_row,source_value_cell,guideline_url
T11R-b6333f6dcfcf3a80,T11-7c843e2300f623,,3110000168,component_of_v4_tracking_id_group,WMP.527,WMP.527;WMP.563,"Emergency Preparedness, Collaboration and Public Awareness","Public Communication, Outreach, and Education Awareness",,CAPEX,Territory,$ Thousands,724.4524419,PSPS Vulnerability,NA,2013,NA,WMPMA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,10,AD10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-432693b7818430d5,T11-7c843e2300f623,,3110000169,component_of_v4_tracking_id_group,WMP.527,WMP.527;WMP.563,"Emergency Preparedness, Collaboration and Public Awareness","Public Communication, Outreach, and Education Awareness",,CAPEX,HFTD,$ Thousands,724.4524419,PSPS Vulnerability,NA,2013,NA,WMPMA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,10,AE10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-af8d1296639a1a33,T11-7c843e2300f623,,3110000170,component_of_v4_tracking_id_group,WMP.527,WMP.527;WMP.563,"Emergency Preparedness, Collaboration and Public Awareness","Public Communication, Outreach, and Education Awareness",,OPEX,Territory,$ Thousands,5320.45989,PSPS Vulnerability,NA,2013,NA,WMPMA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,10,AF10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-10fb5203e8cd8351,T11-7c843e2300f623,,3110000171,component_of_v4_tracking_id_group,WMP.527,WMP.527;WMP.563,"Emergency Preparedness, Collaboration and Public Awareness","Public Communication, Outreach, and Education Awareness",,OPEX,HFTD,$ Thousands,5320.45989,PSPS Vulnerability,NA,2013,NA,WMPMA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,10,AG10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-b9bf19325e20619a,T11-900fca4a60b69b,,3110000164,component_of_v4_tracking_id_group,WMP.1337,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,CAPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,2013,NA,WMPMA,Exceeds,P.U. Code § 451,NA,Community engagement,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,11,AD11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-bb4969eb9d7a6db6,T11-900fca4a60b69b,,3110000165,component_of_v4_tracking_id_group,WMP.1337,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,CAPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,2013,NA,WMPMA,Exceeds,P.U. Code § 451,NA,Community engagement,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,11,AE11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-10ea1e17215d4847,T11-900fca4a60b69b,,3110000166,component_of_v4_tracking_id_group,WMP.1337,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,OPEX,Territory,$ Thousands,435.49903,PSPS Vulnerability,NA,2013,NA,WMPMA,Exceeds,P.U. Code § 451,NA,Community engagement,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,11,AF11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-9afa2c261e28699c,T11-900fca4a60b69b,,3110000167,component_of_v4_tracking_id_group,WMP.1337,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,OPEX,HFTD,$ Thousands,435.49903,PSPS Vulnerability,NA,2013,NA,WMPMA,Exceeds,P.U. Code § 451,NA,Community engagement,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,11,AG11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-b5cb93a656bfec1c,T11-97310a8a81f2f1,,3110000160,component_of_v4_tracking_id_group,WMP.1198,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,CAPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,Engagement with access and functional needs populations,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,12,AD12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-73320008e6e53460,T11-97310a8a81f2f1,,3110000161,component_of_v4_tracking_id_group,WMP.1198,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,CAPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,Engagement with access and functional needs populations,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,12,AE12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-f997146ec724f416,T11-97310a8a81f2f1,,3110000162,component_of_v4_tracking_id_group,WMP.1198,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,Engagement with access and functional needs populations,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,12,AF12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-91341d56d977e9f5,T11-97310a8a81f2f1,,3110000163,component_of_v4_tracking_id_group,WMP.1198,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,Engagement with access and functional needs populations,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,12,AG12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-9e3a3b0602896d9f,T11-900fca4a60b69b,,3110000164,component_of_v4_tracking_id_group,WMP.1199,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,CAPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,13,AD13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
