record_id,source_vintage_year,year_basis,reporting_year,year_alignment_status,metric_number,metric_number_status,hftd_tier,hftd_crosswalk_status,line_type,line_type_crosswalk_status,overall_utility_risk,wildfire_risk,outage_program_risk,wildfire_likelihood,ignition_likelihood,equipment_caused_likelihood_of_ignition,contact_from_vegetation_likelihood_of_ignition,contact_from_object_likelihood_of_ignition,burn_likelihood,wildfire_consequence,wildfire_hazard_intensity,wildfire_exposure_potential,wildfire_vulnerability,psps_risk,psps_likelihood,psps_consequence,psps_exposure_potential,psps_vulnerability,peds_risk,peds_likelihood,peds_consequence,peds_exposure_potential,peds_vulnerability,wildfire_risk_crosswalk_status,outage_program_risk_crosswalk_status,comments,blank_meaning,utility_id,schema_version,source_revision,revision_selection_status,source_file,source_sheet,source_row,source_url,guideline_url
T14R-cfba9095da80651d,2023,q4_annual_update,2023,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,HFTD Tier 2,split_legacy_hftd_area,Distribution,split_legacy_hftd_area,0.05320885,0.031982153,,,0.013221742,0.03454,0.025,0.02837,,542.852865,,,,0.021226697,0.132066811,49.94401709,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.1,R0,highest_local_q4_revision,SDGE_2023_Q4_Tables1-15.xlsx,Table 14,11,,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T14R-d027642fceb66a7c,2023,q4_annual_update,2023,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,HFTD Tier 3,split_legacy_hftd_area,Distribution,split_legacy_hftd_area,0.149265514,0.131191852,,,0.039709745,0.06088,0.02857,0.05228,,719.6897117,,,,0.018073663,0.169926566,22.86322354,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.1,R0,highest_local_q4_revision,SDGE_2023_Q4_Tables1-15.xlsx,Table 14,12,,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T14R-91648dc0943bf225,2023,q4_annual_update,2023,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,Non-HFTD,split_legacy_hftd_area,Distribution,split_legacy_hftd_area,,,,,,,,,,,,,,,,,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.1,R0,highest_local_q4_revision,SDGE_2023_Q4_Tables1-15.xlsx,Table 14,10,,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T14R-8421ca01f5c1461f,2023,q4_annual_update,2023,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,HFTD Tier 2,split_legacy_hftd_area,Transmission,split_legacy_hftd_area,,,,,,,,,,,,,,,,,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.1,R0,highest_local_q4_revision,SDGE_2023_Q4_Tables1-15.xlsx,Table 14,14,,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T14R-420a4d94f11d185f,2023,q4_annual_update,2023,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,HFTD Tier 3,split_legacy_hftd_area,Transmission,split_legacy_hftd_area,,,,,,,,,,,,,,,,,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.1,R0,highest_local_q4_revision,SDGE_2023_Q4_Tables1-15.xlsx,Table 14,15,,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T14R-9ab023f0b9b5e032,2023,q4_annual_update,2023,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,Non-HFTD,split_legacy_hftd_area,Transmission,split_legacy_hftd_area,,,,,,,,,,,,,,,,,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.1,R0,highest_local_q4_revision,SDGE_2023_Q4_Tables1-15.xlsx,Table 14,13,,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T14R-616abaa768b63656,2024,q4_annual_update,2024,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,HFTD Tier 2,split_legacy_hftd_area,Distribution,split_legacy_hftd_area,0.047538437,0.031982153,,,0.013221742,0.03454,0.025,0.02837,,542.852865,,,,0.015556283,4.046583368,412.8922544,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.2,R1,local_q4_r1_used; official_q4_r2_exists_but_documented_revision_concerns_lightning_arrester_record_not_table14,SDGE_2024_Q4_Tables1-15_R1.xlsx,Table 14,11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?docket=2025+Data+Submissions&fileid=59226&shareable=true,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=56226&shareable=true
T14R-c152568363108840,2024,q4_annual_update,2024,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,HFTD Tier 3,split_legacy_hftd_area,Distribution,split_legacy_hftd_area,0.154703445,0.131191852,,,0.039709745,0.06088,0.02857,0.05228,,719.6897117,,,,0.023511593,8.74894482,192.7886482,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.2,R1,local_q4_r1_used; official_q4_r2_exists_but_documented_revision_concerns_lightning_arrester_record_not_table14,SDGE_2024_Q4_Tables1-15_R1.xlsx,Table 14,12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?docket=2025+Data+Submissions&fileid=59226&shareable=true,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=56226&shareable=true
T14R-3d32c3153b25f66d,2024,q4_annual_update,2024,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,Non-HFTD,split_legacy_hftd_area,Distribution,split_legacy_hftd_area,,,,,,,,,,,,,,,,,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.2,R1,local_q4_r1_used; official_q4_r2_exists_but_documented_revision_concerns_lightning_arrester_record_not_table14,SDGE_2024_Q4_Tables1-15_R1.xlsx,Table 14,10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?docket=2025+Data+Submissions&fileid=59226&shareable=true,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=56226&shareable=true
T14R-3d48d94c971eea66,2024,q4_annual_update,2024,source_vintage_equals_reporting_year,,not_present_in_v3_1_or_v3_2_schema,HFTD Tier 2,split_legacy_hftd_area,Transmission,split_legacy_hftd_area,,,,,,,,,,,,,,,,,,,,,,,,legacy_ignition_risk_mapped_to_v4_wildfire_risk,not_in_legacy_schema; legacy_psps_risk_is_not_full_v4_outage_program_risk,,,SDG&E,v3.2,R1,local_q4_r1_used; official_q4_r2_exists_but_documented_revision_concerns_lightning_arrester_record_not_table14,SDGE_2024_Q4_Tables1-15_R1.xlsx,Table 14,14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?docket=2025+Data+Submissions&fileid=59226&shareable=true,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=56226&shareable=true
